parameter,regime,regime_label,q025,q50,q975
mu,0,hmm_prob_state_0,-0.0003676443179575362,0.0001047089134914432,0.0005983563738428514
mu,1,hmm_prob_state_1,-0.000439326090200625,0.000356717708994529,0.0011537186602194104
mu,2,hmm_prob_state_2,-0.000533510106336274,0.00014881542297053187,0.0007716390659135437
mu,3,hmm_prob_state_3,0.00039446429177134615,0.001918835619463544,0.0034272316078405593
c,0,hmm_prob_state_0,0.7496575504541397,0.8027061522006989,0.8577706366777419
c,1,hmm_prob_state_1,0.828621432185173,0.8835104405879974,0.9397288799285889
c,2,hmm_prob_state_2,0.8480851590633393,0.8994856774806976,0.9524107843637466
c,3,hmm_prob_state_3,0.9169456854462623,0.9808278977870941,1.049107313156128
nu,0,hmm_prob_state_0,7.6030437588691715,9.599010467529297,12.165109634399412
nu,1,hmm_prob_state_1,7.6030437588691715,9.599010467529297,12.165109634399412
nu,2,hmm_prob_state_2,7.6030437588691715,9.599010467529297,12.165109634399412
nu,3,hmm_prob_state_3,7.6030437588691715,9.599010467529297,12.165109634399412
