iteration,loss
0,7833.716796875
1,7824.8984375
2,7786.98779296875
3,7824.95947265625
4,7854.654296875
5,7838.4384765625
6,7829.80615234375
7,7902.38427734375
8,7766.78125
9,7917.81689453125
10,7911.1640625
11,7832.61328125
12,7790.0185546875
13,7868.91162109375
14,7896.2666015625
15,7863.779296875
16,7899.23681640625
17,7788.037109375
18,7831.10693359375
19,7844.3720703125
20,7890.2958984375
21,7766.50927734375
22,7854.2314453125
23,7752.24560546875
24,7810.82861328125
25,7843.41064453125
26,7802.59326171875
27,7745.65478515625
28,7819.79443359375
29,7803.0400390625
30,7876.876953125
31,7795.00048828125
32,7750.16748046875
33,7769.759765625
34,7859.6904296875
35,7799.845703125
36,7752.09423828125
37,7771.7568359375
38,7723.751953125
39,7821.3740234375
40,7765.9638671875
41,7771.17138671875
42,7740.2529296875
43,7768.14404296875
44,7726.2109375
45,7726.513671875
46,7722.943359375
47,7792.48779296875
48,7705.681640625
49,7759.54833984375
50,7756.49951171875
51,7723.14892578125
52,7716.794921875
53,7771.283203125
54,7718.5107421875
55,7741.2529296875
56,7683.80078125
57,7687.91552734375
58,7710.6865234375
59,7683.40771484375
60,7761.38623046875
61,7675.185546875
62,7703.498046875
63,7637.853515625
64,7740.59326171875
65,7724.57763671875
66,7618.1884765625
67,7624.0390625
68,7666.39794921875
69,7638.078125
70,7599.861328125
71,7711.71337890625
72,7702.388671875
73,7628.69140625
74,7617.16796875
75,7612.83984375
76,7628.865234375
77,7657.47119140625
78,7642.9443359375
79,7679.189453125
80,7624.8310546875
81,7637.126953125
82,7601.9501953125
83,7634.826171875
84,7617.99365234375
85,7616.61767578125
86,7659.9365234375
87,7565.76611328125
88,7596.0537109375
89,7618.67919921875
90,7597.1318359375
91,7570.7490234375
92,7558.9482421875
93,7531.7119140625
94,7539.15087890625
95,7524.72412109375
96,7547.724609375
97,7512.06298828125
98,7543.388671875
99,7514.2734375
100,7541.021484375
101,7560.4541015625
102,7574.17236328125
103,7512.72021484375
104,7531.9990234375
105,7465.00244140625
106,7531.1875
107,7509.25
108,7529.4501953125
109,7492.8427734375
110,7490.9091796875
111,7486.96240234375
112,7518.5712890625
113,7509.50390625
114,7559.04296875
115,7491.54443359375
116,7512.7431640625
117,7476.4306640625
118,7492.3916015625
119,7458.56982421875
120,7486.88818359375
121,7436.30029296875
122,7479.03076171875
123,7477.6298828125
124,7445.96337890625
125,7465.3369140625
126,7468.8388671875
127,7429.775390625
128,7435.6796875
129,7458.498046875
130,7440.92724609375
131,7453.30615234375
132,7473.5322265625
133,7444.4404296875
134,7450.31494140625
135,7431.62744140625
136,7441.24365234375
137,7453.7119140625
138,7456.0087890625
139,7441.88720703125
140,7440.619140625
141,7439.966796875
142,7429.427734375
143,7436.43701171875
144,7413.90966796875
145,7429.2255859375
146,7445.27978515625
147,7405.888671875
148,7436.2529296875
149,7427.6650390625
150,7398.55712890625
151,7409.84326171875
152,7425.1416015625
153,7437.7470703125
154,7433.4169921875
155,7407.6650390625
156,7440.93115234375
157,7398.79541015625
158,7413.9287109375
159,7417.84912109375
