regime,regime_label,effective_observations,observed_weighted_mean,observed_weighted_volatility,posterior_predictive_mean,posterior_predictive_scale
0,hmm_prob_state_0,1445.0232082448179,0.0004586297546358672,0.005993050823225642,0.00027872886473796397,0.005102872901789278
1,hmm_prob_state_1,1559.0972630987262,0.0005679213633610497,0.013024806679032141,0.0008459221275342156,0.010993033580183786
2,hmm_prob_state_2,1861.6690607494547,0.00036765506020752445,0.009426976135365576,0.0004948881547596612,0.008258605925396532
3,hmm_prob_state_3,1439.210467907001,0.0004572259542649437,0.023905471684086355,0.0010085830901362391,0.021212714852507454
