seed,iteration,loss
11,0,7833.716796875
11,1,7824.8984375
11,2,7786.98779296875
11,3,7824.95947265625
11,4,7854.654296875
11,5,7838.4384765625
11,6,7829.80615234375
11,7,7902.38427734375
11,8,7766.78125
11,9,7917.81689453125
11,10,7911.1640625
11,11,7832.61328125
11,12,7790.0185546875
11,13,7868.91162109375
11,14,7896.2666015625
11,15,7863.779296875
11,16,7899.23681640625
11,17,7788.037109375
11,18,7831.10693359375
11,19,7844.3720703125
11,20,7890.2958984375
11,21,7766.50927734375
11,22,7854.2314453125
11,23,7752.24560546875
11,24,7810.82861328125
11,25,7843.41064453125
11,26,7802.59326171875
11,27,7745.65478515625
11,28,7819.79443359375
11,29,7803.0400390625
11,30,7876.876953125
11,31,7795.00048828125
11,32,7750.16748046875
11,33,7769.759765625
11,34,7859.6904296875
11,35,7799.845703125
11,36,7752.09423828125
11,37,7771.7568359375
11,38,7723.751953125
11,39,7821.3740234375
11,40,7765.9638671875
11,41,7771.17138671875
11,42,7740.2529296875
11,43,7768.14404296875
11,44,7726.2109375
11,45,7726.513671875
11,46,7722.943359375
11,47,7792.48779296875
11,48,7705.681640625
11,49,7759.54833984375
11,50,7756.49951171875
11,51,7723.14892578125
11,52,7716.794921875
11,53,7771.283203125
11,54,7718.5107421875
11,55,7741.2529296875
11,56,7683.80078125
11,57,7687.91552734375
11,58,7710.6865234375
11,59,7683.40771484375
11,60,7761.38623046875
11,61,7675.185546875
11,62,7703.498046875
11,63,7637.853515625
11,64,7740.59326171875
11,65,7724.57763671875
11,66,7618.1884765625
11,67,7624.0390625
11,68,7666.39794921875
11,69,7638.078125
11,70,7599.861328125
11,71,7711.71337890625
11,72,7702.388671875
11,73,7628.69140625
11,74,7617.16796875
11,75,7612.83984375
11,76,7628.865234375
11,77,7657.47119140625
11,78,7642.9443359375
11,79,7679.189453125
11,80,7624.8310546875
11,81,7637.126953125
11,82,7601.9501953125
11,83,7634.826171875
11,84,7617.99365234375
11,85,7616.61767578125
11,86,7659.9365234375
11,87,7565.76611328125
11,88,7596.0537109375
11,89,7618.67919921875
11,90,7597.1318359375
11,91,7570.7490234375
11,92,7558.9482421875
11,93,7531.7119140625
11,94,7539.15087890625
11,95,7524.72412109375
11,96,7547.724609375
11,97,7512.06298828125
11,98,7543.388671875
11,99,7514.2734375
11,100,7541.021484375
11,101,7560.4541015625
11,102,7574.17236328125
11,103,7512.72021484375
11,104,7531.9990234375
11,105,7465.00244140625
11,106,7531.1875
11,107,7509.25
11,108,7529.4501953125
11,109,7492.8427734375
11,110,7490.9091796875
11,111,7486.96240234375
11,112,7518.5712890625
11,113,7509.50390625
11,114,7559.04296875
11,115,7491.54443359375
11,116,7512.7431640625
11,117,7476.4306640625
11,118,7492.3916015625
11,119,7458.56982421875
11,120,7486.88818359375
11,121,7436.30029296875
11,122,7479.03076171875
11,123,7477.6298828125
11,124,7445.96337890625
11,125,7465.3369140625
11,126,7468.8388671875
11,127,7429.775390625
11,128,7435.6796875
11,129,7458.498046875
11,130,7440.92724609375
11,131,7453.30615234375
11,132,7473.5322265625
11,133,7444.4404296875
11,134,7450.31494140625
11,135,7431.62744140625
11,136,7441.24365234375
11,137,7453.7119140625
11,138,7456.0087890625
11,139,7441.88720703125
11,140,7440.619140625
11,141,7439.966796875
11,142,7429.427734375
11,143,7436.43701171875
11,144,7413.90966796875
