seed,method,learning_rate,converged,final_elbo,n_steps,mu_0_mean,mu_0_sd,mu_0_q025,mu_0_q975,mu_1_mean,mu_1_sd,mu_1_q025,mu_1_q975,mu_2_mean,mu_2_sd,mu_2_q025,mu_2_q975,mu_3_mean,mu_3_sd,mu_3_q025,mu_3_q975,c_0_mean,c_0_sd,c_0_q025,c_0_q975,c_1_mean,c_1_sd,c_1_q025,c_1_q975,c_2_mean,c_2_sd,c_2_q025,c_2_q975,c_3_mean,c_3_sd,c_3_q025,c_3_q975,nu_0_mean,nu_0_sd,nu_0_q025,nu_0_q975,nu_1_mean,nu_1_sd,nu_1_q025,nu_1_q975,nu_2_mean,nu_2_sd,nu_2_q025,nu_2_q975,nu_3_mean,nu_3_sd,nu_3_q025,nu_3_q975
11,fullrank_advi,0.005,True,-7313.906189453125,1501,0.00034439987143451196,0.00017321138437020617,5.991349852664926e-06,0.0006849146370278723,0.0007888565242828172,0.00032082949194912007,0.0001361978583927885,0.0014155190230350397,0.0005061462288576797,0.00022190910414764524,7.468060966976844e-05,0.0009467241523599761,0.000925714124618205,0.000600487774088134,-0.00024848554794336695,0.0021000388434843026,0.7525883396466573,0.01947591963686164,0.7153284177184105,0.7914012551307678,0.8049978833893935,0.023131959518091185,0.7585504740476608,0.8499965310096741,0.8279964123666287,0.021535449065902955,0.7859726279973984,0.8708273947238921,0.9604607050617536,0.024021884094505487,0.9153367727994919,1.00759656727314,6.664164048830668,0.49923431605453333,5.825408232212067,7.727377152442932,6.664164048830668,0.49923431605453333,5.825408232212067,7.727377152442932,6.664164048830668,0.49923431605453333,5.825408232212067,7.727377152442932,6.664164048830668,0.49923431605453333,5.825408232212067,7.727377152442932
42,fullrank_advi,0.005,True,-7314.003654296875,1501,0.00025859396047029953,0.0002138440602928765,-0.00016070099225254624,0.000673682877734333,0.0009168689936909094,0.00030328988567232193,0.0003112298555774226,0.0015189695858574945,0.0005197841367974308,0.00023793438457222666,4.714042216537336e-05,0.000977288854503461,0.0010251351058200972,0.0004937147988532645,0.00011424814699219421,0.002025056753118828,0.7526156904796759,0.020102687213181994,0.7126598790287971,0.7941660553216934,0.8135045180221399,0.022583898552466397,0.7716963365674019,0.8596895545721054,0.8290874629219374,0.021210861837582258,0.7868020728230476,0.8697843730449676,0.9527144661049048,0.02660526117431621,0.9012233942747117,1.0045215368270872,6.7246314795811974,0.5334925685258687,5.735111236572266,7.8053790807724,6.7246314795811974,0.5334925685258687,5.735111236572266,7.8053790807724,6.7246314795811974,0.5334925685258687,5.735111236572266,7.8053790807724,6.7246314795811974,0.5334925685258687,5.735111236572266,7.8053790807724
73,fullrank_advi,0.005,True,-7313.936963867188,1501,0.0002458475919117476,0.00018020371012978715,-0.0001089909726597693,0.0006008921848923368,0.0008500596720109236,0.00030847484665501036,0.00023711374698071917,0.0014695223791852266,0.0004784716892356152,0.00023408080878115642,2.1891758689060094e-05,0.0009186463261905537,0.0011130871498932192,0.0005446421941872175,1.054142407522467e-05,0.002158748744838553,0.7519235444068909,0.021540292647371933,0.7101485341787338,0.7942124366760254,0.80737531448404,0.022620096999036998,0.7647883906960488,0.8510018289089203,0.825592598815759,0.021389127651627756,0.7842813953757286,0.8701710388064384,0.9534822148084641,0.027606914136812846,0.9009559795260429,1.0078525692224503,6.653026206096014,0.5263568480971181,5.70558454990387,7.759303116798399,6.653026206096014,0.5263568480971181,5.70558454990387,7.759303116798399,6.653026206096014,0.5263568480971181,5.70558454990387,7.759303116798399,6.653026206096014,0.5263568480971181,5.70558454990387,7.759303116798399
