parameter,regime,regime_label,mean,sd,q025,q50,q975
mu,0,hmm_prob_state_0,0.0002844940501797036,0.00019202345418804008,-0.00010555718005693236,0.00028602476380574767,0.0006600188179525206
mu,1,hmm_prob_state_1,0.000854004891554937,0.0003156759948577938,0.00023190643863899694,0.0008475956481065431,0.0014917335261721999
mu,2,hmm_prob_state_2,0.0004999184810619909,0.0002316448140967071,4.345995343060333e-05,0.0005014482014027621,0.000936364511713886
mu,3,hmm_prob_state_3,0.0010172194545786236,0.000537786928978862,-3.667545253305138e-05,0.001017311972345,0.002113672906106692
c,0,hmm_prob_state_0,0.752631549735864,0.019492775283449275,0.7135854631662368,0.7523731291294098,0.7915601804852486
c,1,hmm_prob_state_1,0.8085932644704977,0.023214466762622076,0.7603765621781349,0.8086230456829071,0.8529624864459038
c,2,hmm_prob_state_2,0.8268505765000979,0.021674383972875244,0.7834380239248275,0.826980710029602,0.8682328432798385
c,3,hmm_prob_state_3,0.9554170289635658,0.02664189488008598,0.9031779155135155,0.9555076360702515,1.0075411766767501
nu,0,hmm_prob_state_0,6.674185350735982,0.5140073650483631,5.772951674461365,6.643819093704224,7.7556773781776425
nu,1,hmm_prob_state_1,6.674185350735982,0.5140073650483631,5.772951674461365,6.643819093704224,7.7556773781776425
nu,2,hmm_prob_state_2,6.674185350735982,0.5140073650483631,5.772951674461365,6.643819093704224,7.7556773781776425
nu,3,hmm_prob_state_3,6.674185350735982,0.5140073650483631,5.772951674461365,6.643819093704224,7.7556773781776425
